Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,5/9/2022,30296.95313,34060.01563,34222.07422,30296.95313
BTC,5/10/2022,31022.90625,30273.6543,32596.30859,29944.80273
BTC,5/11/2022,28936.35547,31016.18359,32013.40234,28170.41406
BTC,5/12/2022,29047.75195,28936.73438,30032.43945,26350.49023
BTC,5/13/2022,29283.10352,29030.91016,30924.80273,28782.33008
BTC,5/14/2022,30101.26563,29285.64258,30192.80273,28702.91016
BTC,5/15/2022,31305.11328,30098.58594,31308.19141,29527.74023
BTC,5/16/2022,29862.91797,31304.375,31305.3418,29251.88477
BTC,5/17/2022,30425.85742,29862.4082,30694.49023,29570.30273
BTC,5/18/2022,28720.27148,30424.47852,30618.7168,28720.27148
BTC,5/19/2022,30314.33398,28720.35938,30430.75195,28708.95508
BTC,5/20/2022,29200.74023,30311.11914,30664.97656,28793.60547
BTC,5/21/2022,29432.22656,29199.85938,29588.86914,29027.39453
BTC,5/22/2022,30323.72266,29432.47266,30425.86133,29275.18359
BTC,5/23/2022,29098.91016,30309.39648,30590.58594,28975.56055
BTC,5/24/2022,29655.58594,29101.125,29774.35547,28786.58984
BTC,5/25/2022,29562.36133,29653.13477,30157.78516,29384.94922
BTC,5/26/2022,29267.22461,29564.77734,29834.16016,28261.90625
BTC,5/27/2022,28627.57422,29251.14063,29346.94336,28326.61328
BTC,5/28/2022,28814.90039,28622.625,28814.90039,28554.56641
BTC,5/29/2022,29445.95703,29019.86719,29498.00977,28841.10742
BTC,5/30/2022,31726.39063,29443.36523,31949.63086,29303.57227
BTC,5/31/2022,31792.31055,31723.86523,32249.86328,31286.1543
BTC,6/1/2022,29799.08008,31792.55469,31957.28516,29501.58789
BTC,6/2/2022,30467.48828,29794.89063,30604.73438,29652.70508
BTC,6/3/2022,29704.39063,30467.80664,30633.03516,29375.68945
BTC,6/4/2022,29832.91406,29706.13867,29930.56445,29500.00586
BTC,6/5/2022,29906.66211,29835.11719,30117.74414,29574.44922
BTC,6/6/2022,31370.67188,29910.2832,31693.29102,29894.1875
BTC,6/7/2022,31155.47852,31371.74219,31489.68359,29311.68359
BTC,6/8/2022,30214.35547,31151.48047,31253.69141,29944.4043
BTC,6/9/2022,30111.99805,30215.2793,30609.31055,30020.26563
BTC,6/10/2022,29083.80469,30110.33008,30245.80859,28978.14648
BTC,6/11/2022,28360.81055,29084.66602,29401.91602,28236.21289
BTC,6/12/2022,26762.64844,28373.51367,28502.68555,26762.64844
BTC,6/13/2022,22487.38867,26737.57813,26795.58984,22141.25781
BTC,6/14/2022,22206.79297,22487.98633,23018.95117,20950.81836
BTC,6/15/2022,22572.83984,22196.73047,22642.67188,20178.37695
BTC,6/16/2022,20381.65039,22576.30469,22868.92188,20265.22656
BTC,6/17/2022,20471.48242,20385.71875,21243.3125,20326.51953
BTC,6/18/2022,19017.64258,20473.42578,20736.04102,17708.62305
BTC,6/19/2022,20553.27148,19010.90234,20683.82227,18067.15234
BTC,6/20/2022,20599.53711,20553.37109,20913.32227,19689.16992
BTC,6/21/2022,20710.59766,20594.29492,21620.62891,20415.0625
BTC,6/22/2022,19987.0293,20719.41406,20835.75,19848.07813
BTC,6/23/2022,21085.87695,19986.60742,21135.76172,19950.11719
BTC,6/24/2022,21231.65625,21084.64844,21472.91797,20777.51172
BTC,6/25/2022,21502.33789,21233.60938,21520.91406,20964.58594
BTC,6/26/2022,21027.29492,21496.49414,21783.72461,21016.26953
BTC,6/27/2022,20735.47852,21028.23828,21478.08984,20620.19922
BTC,6/28/2022,20280.63477,20731.54492,21164.42383,20228.8125
BTC,6/29/2022,20104.02344,20281.16992,20364.15625,19937.79102
BTC,6/30/2022,19784.72656,20108.3125,20141.16016,18729.65625
BTC,7/1/2022,19269.36719,19820.4707,20632.67188,19073.70898
BTC,7/2/2022,19242.25586,19274.83594,19371.74805,19027.08203
BTC,7/3/2022,19297.07617,19242.0957,19558.26953,18966.95117
BTC,7/4/2022,20231.26172,19297.31445,20258.74805,19063.06641
BTC,7/5/2022,20190.11523,20225.35352,20635.4668,19341.23242
BTC,7/6/2022,20548.24609,20194.61914,20595.5293,19823.51172
BTC,7/7/2022,21637.58789,20547.81445,21771.81641,20296.10352
BTC,7/8/2022,21731.11719,21637.1543,22314.94141,21257.45313
BTC,7/9/2022,21592.20703,21716.82813,21877.13867,21445.95703
BTC,7/10/2022,20860.44922,21591.08008,21591.08008,20727.12305
BTC,7/11/2022,19970.55664,20856.35352,20856.35352,19924.53906
BTC,7/12/2022,19323.91406,19970.47461,20043.44531,19308.53125
BTC,7/13/2022,20212.07422,19325.97266,20223.05273,18999.95313
